symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rs_h,vol_h,perf_h,rs_up,rank,symbol_clean,rank_diff,rank_status
TORNTPHARM.NS,4429.8,3.11,4099.3,29.04,-11.1,37.54,26,"[18, 19, 24, 22, 26]","[33.63, 32.43, 29.8, 29.42, 29.04]","[43.45, 42.01, 38.54, 38.07, 37.54]",False,198,TORNTPHARM,5,up
HBLENGINE.NS,815.5,25.59,781.62,12.92,-11.23,37.97,25,"[29, 26, 25, 25]","[10.27, 11.37, 12.08, 12.92]","[30.27, 33.51, 35.55, 37.97]",False,199,HBLENGINE,-2,down
AIAENG.NS,4687.0,0.0,3868.14,20.98,-11.34,38.35,25,"[38, 31, 29, 28, 25]","[13.47, 15.22, 16.96, 17.27, 20.98]","[24.41, 27.73, 30.84, 31.4, 38.35]",False,200,AIAENG,-12,down
NEULANDLAB.NS,17345.0,4.24,15106.73,14.39,-11.39,38.52,25,"[26, 33, 35, 31, 25]","[13.13, 9.39, 9.39, 10.82, 14.39]","[35.81, 25.24, 25.24, 29.08, 38.52]",False,201,NEULANDLAB,-21,down
SAMMAANCAP.NS,174.6,8.07,152.78,13.78,-11.48,38.82,24,"[22, 21, 24, 23, 24]","[13.66, 13.81, 13.83, 13.37, 13.78]","[38.43, 38.89, 38.94, 37.67, 38.82]",False,202,SAMMAANCAP,0,stable
CGPOWER.NS,963.7,0.01,762.07,19.75,-11.58,39.15,24,"[30, 25, 22, 20, 24]","[16.49, 17.48, 19.95, 22.02, 19.75]","[32.72, 34.76, 39.48, 43.69, 39.15]",False,203,CGPOWER,6,up
VTL.NS,657.45,0.6,529.43,17.23,-11.62,39.27,23,"[33, 28, 30, 28, 23]","[13.2, 13.77, 13.42, 13.91, 17.23]","[29.77, 31.09, 30.3, 31.38, 39.27]",False,204,VTL,-17,down
INDIANB.NS,870.1,10.38,829.5,20.5,-11.88,40.15,23,"[24, 22, 23, 20, 23]","[19.12, 19.89, 20.18, 22.07, 20.5]","[37.34, 38.83, 39.41, 43.24, 40.15]",False,205,INDIANB,3,up
ENRIN.NS,3833.9,0.99,3094.33,17.84,-11.95,40.41,23,"[31, 29, 27, 22, 23]","[14.19, 13.29, 14.25, 16.99, 17.84]","[32.09, 30.04, 32.17, 38.62, 40.41]",False,206,ENRIN,-2,down
IFCI.NS,85.73,4.82,60.89,12.93,-12.23,41.35,22,"[34, 22, 21, 18, 22]","[8.58, 12.28, 13.5, 14.72, 12.93]","[26.92, 38.72, 42.47, 46.29, 41.35]",False,207,IFCI,8,up
CCL.NS,1137.3,5.84,1031.84,19.79,-12.47,42.15,22,"[28, 26, 25, 27, 22]","[15.62, 15.96, 16.91, 16.31, 19.79]","[33.44, 34.17, 36.12, 34.84, 42.15]",False,208,CCL,-16,down
KARURVYSYA.NS,291.75,13.39,276.9,20.49,-12.8,43.28,22,"[14, 17, 17, 19, 22]","[22.51, 21.94, 22.79, 21.4, 20.49]","[47.59, 46.38, 48.23, 45.14, 43.28]",False,209,KARURVYSYA,3,up
NLCINDIA.NS,321.7,13.27,284.1,18.78,-12.83,43.39,21,"[28, 25, 26, 24, 21]","[14.71, 14.99, 15.31, 15.94, 18.78]","[33.86, 34.51, 35.21, 36.62, 43.39]",False,210,NLCINDIA,-12,down
ASTERDM.NS,809.4,0.68,677.12,22.84,-12.84,43.4,21,"[17, 23, 23, 25, 21]","[23.26, 20.27, 20.55, 18.52, 22.84]","[43.9, 38.55, 39.06, 35.26, 43.4]",False,211,ASTERDM,-16,down
SAIL.NS,180.05,12.62,163.11,19.78,-12.91,43.65,20,"[21, 22, 21, 22, 20]","[18.2, 17.54, 18.58, 18.38, 19.78]","[40.22, 38.79, 41.0, 40.57, 43.65]",False,212,SAIL,-7,down
VIJAYA.NS,1364.2,0.6,1090.09,21.74,-12.99,43.93,20,"[26, 24, 25, 24, 20]","[17.75, 17.37, 17.7, 18.43, 21.74]","[35.64, 34.88, 35.56, 37.01, 43.93]",False,213,VIJAYA,-14,down
EICHERMOT.NS,7611.0,7.07,7106.29,27.01,-13.12,44.35,20,"[23, 18, 19, 21, 20]","[23.29, 27.01, 26.86, 26.19, 27.01]","[37.74, 44.31, 44.08, 43.0, 44.35]",False,214,EICHERMOT,-7,down
RADICO.NS,3769.2,0.0,3127.91,21.94,-13.3,44.96,19,"[28, 20, 25, 23, 19]","[16.38, 20.02, 18.86, 18.25, 21.94]","[33.6, 40.79, 38.41, 37.17, 44.96]",False,215,RADICO,-15,down
MOTHERSON.NS,145.54,1.74,122.5,21.0,-13.47,45.56,19,"[25, 21, 20, 21, 19]","[16.68, 18.37, 20.0, 19.38, 21.0]","[36.17, 40.0, 43.39, 42.09, 45.56]",False,216,MOTHERSON,-10,down
HSCL.NS,671.05,4.29,524.33,21.73,-13.83,46.75,18,"[22, 23, 19, 16, 18]","[18.19, 17.48, 20.87, 23.08, 21.73]","[38.97, 37.48, 44.8, 49.55, 46.75]",False,217,HSCL,3,up
ABCAPITAL.NS,375.9,0.0,337.29,23.0,-14.0,47.35,18,"[14, 14, 14, 14, 18]","[22.99, 23.87, 25.96, 26.51, 23.0]","[47.57, 49.52, 53.85, 54.95, 47.35]",False,218,ABCAPITAL,7,up
GPIL.NS,269.1,12.02,267.47,20.75,-14.2,48.01,18,"[13, 15, 17, 17, 18]","[21.47, 20.94, 21.02, 20.42, 20.75]","[49.73, 48.44, 48.62, 47.28, 48.01]",False,219,GPIL,-3,down
BSE.NS,4020.2,8.7,3215.31,20.15,-15.05,50.89,17,"[27, 19, 16, 17, 17]","[13.55, 17.04, 20.33, 18.8, 20.15]","[34.46, 43.14, 51.13, 47.51, 50.89]",False,220,BSE,-2,down
GESHIP.NS,1437.7,16.39,1310.83,24.02,-15.13,51.16,17,"[17, 16, 16, 18, 17]","[21.34, 22.18, 23.24, 21.53, 24.02]","[45.56, 47.29, 49.67, 46.0, 51.16]",False,221,GESHIP,-7,down
SHRIRAMFIN.NS,1001.9,9.3,919.24,23.49,-15.46,52.26,17,"[23, 16, 15, 15, 17]","[17.02, 21.21, 23.4, 23.61, 23.49]","[37.79, 47.4, 52.15, 52.62, 52.26]",False,222,SHRIRAMFIN,-1,down
LTF.NS,286.5,9.63,273.85,24.71,-15.47,52.31,16,"[18, 12, 11, 11, 16]","[20.61, 26.03, 27.48, 28.33, 24.71]","[43.14, 55.28, 58.3, 60.04, 52.31]",False,223,LTF,10,up
SCI.NS,312.15,9.44,262.35,18.63,-15.61,52.79,16,"[16, 10, 12, 19, 16]","[15.56, 18.9, 19.63, 15.41, 18.63]","[45.89, 55.94, 58.03, 44.55, 52.79]",False,224,SCI,-13,down
ADANIGREEN.NS,1502.4,2.09,1135.5,20.3,-15.88,53.7,15,"[21, 20, 19, 16, 15]","[15.1, 15.69, 17.36, 18.22, 20.3]","[40.09, 41.63, 45.94, 48.14, 53.7]",False,225,ADANIGREEN,-6,down
USHAMART.NS,476.05,8.42,443.47,24.79,-16.08,54.37,15,"[10, 9, 8, 9, 15]","[27.0, 27.02, 28.6, 28.52, 24.79]","[58.99, 59.01, 62.42, 62.26, 54.37]",False,226,USHAMART,11,up
NYKAA.NS,302.3,0.0,257.85,30.27,-16.5,55.78,15,"[24, 24, 22, 20, 15]","[20.7, 20.6, 22.28, 24.56, 30.27]","[37.23, 37.04, 39.93, 44.28, 55.78]",False,227,NYKAA,-17,down
KEI.NS,5631.0,0.22,4632.65,28.78,-16.58,56.05,14,"[20, 18, 18, 15, 14]","[21.52, 22.75, 24.17, 27.62, 28.78]","[41.69, 44.11, 46.67, 53.93, 56.05]",False,228,KEI,-6,down
GMDCLTD.NS,612.9,17.92,595.97,16.27,-16.67,56.36,14,"[12, 14, 13, 15, 14]","[14.94, 14.34, 16.16, 15.75, 16.27]","[51.87, 49.8, 56.09, 54.69, 56.36]",False,229,GMDCLTD,-6,down
WELCORP.NS,1423.4,0.0,1032.07,25.86,-16.75,56.64,14,"[15, 18, 17, 14, 14]","[20.89, 20.57, 22.54, 25.05, 25.86]","[45.96, 45.28, 49.4, 54.81, 56.64]",False,230,WELCORP,-6,down
ABSLAMC.NS,1180.6,0.0,933.98,25.78,-17.09,57.78,13,"[21, 13, 18, 17, 13]","[18.79, 22.84, 21.09, 21.44, 25.78]","[41.26, 50.34, 46.6, 47.33, 57.78]",False,231,ABSLAMC,-14,down
BHARATFORG.NS,2041.4,0.0,1683.6,31.63,-17.12,57.88,13,"[14, 13, 13, 13, 13]","[25.32, 28.52, 30.08, 30.72, 31.63]","[46.14, 52.38, 55.09, 56.29, 57.88]",False,232,BHARATFORG,-5,down
GRANULES.NS,786.9,0.87,640.41,31.02,-17.29,58.45,12,"[20, 21, 20, 18, 12]","[22.22, 21.25, 23.06, 24.61, 31.02]","[41.73, 40.02, 43.28, 45.99, 58.45]",False,233,GRANULES,-20,down
HINDALCO.NS,1010.0,12.15,946.97,33.92,-17.32,58.55,12,"[11, 11, 15, 12, 12]","[32.86, 32.6, 30.13, 33.64, 33.92]","[56.31, 55.88, 52.0, 58.19, 58.55]",False,234,HINDALCO,-4,down
FEDERALBNK.NS,323.95,0.0,272.77,38.24,-17.5,59.16,12,"[12, 12, 12, 12, 12]","[32.62, 34.47, 36.37, 37.62, 38.24]","[50.52, 53.29, 56.22, 58.14, 59.16]",False,235,FEDERALBNK,-6,down
NAM-INDIA.NS,1186.9,0.0,954.16,24.72,-17.56,59.36,11,"[19, 12, 10, 10, 11]","[17.88, 22.71, 24.44, 25.16, 24.72]","[42.94, 54.7, 58.72, 60.47, 59.36]",False,236,NAM-INDIA,-2,down
NAVINFLUOR.NS,7493.5,0.0,6286.06,28.5,-17.72,59.91,11,"[7, 8, 9, 10, 11]","[31.84, 31.14, 29.38, 29.46, 28.5]","[67.46, 65.97, 62.06, 62.22, 59.91]",True,237,NAVINFLUOR,-1,down
DATAPATTNS.NS,4822.1,0.0,3383.89,20.33,-18.12,61.26,11,"[15, 17, 14, 11, 11]","[15.32, 15.54, 17.8, 19.68, 20.33]","[45.97, 46.6, 53.27, 59.33, 61.26]",False,238,DATAPATTNS,-6,down
SAILIFE.NS,1216.4,1.08,998.38,28.26,-18.34,61.99,10,"[9, 10, 10, 13, 10]","[27.08, 25.76, 27.61, 26.22, 28.26]","[59.8, 56.9, 60.79, 57.6, 61.99]",False,239,SAILIFE,-11,down
J&KBANK.NS,163.56,0.0,122.12,28.13,-18.35,62.04,10,"[17, 15, 13, 12, 10]","[20.1, 21.69, 24.46, 26.57, 28.13]","[44.62, 48.17, 54.17, 58.71, 62.04]",False,240,J&KBANK,-9,down
INOXINDIA.NS,1917.8,0.0,1332.85,28.75,-18.67,63.14,9,"[13, 16, 12, 10, 9]","[23.25, 22.57, 26.44, 28.98, 28.75]","[49.35, 47.94, 56.18, 61.98, 63.14]",False,241,INOXINDIA,-6,down
BHEL.NS,414.35,1.89,311.56,29.12,-19.09,64.54,9,"[16, 14, 15, 13, 9]","[20.72, 22.37, 23.49, 24.96, 29.12]","[45.67, 49.28, 51.7, 55.03, 64.54]",False,242,BHEL,-16,down
POLYCAB.NS,10083.0,0.0,8077.32,37.72,-20.3,68.63,9,"[11, 11, 10, 8, 9]","[31.18, 30.8, 32.87, 36.01, 37.72]","[56.52, 55.83, 59.42, 65.53, 68.63]",False,243,POLYCAB,-4,down
MAHABANK.NS,90.19,0.0,68.9,33.72,-20.93,70.75,8,"[10, 8, 8, 8, 8]","[28.21, 30.48, 32.49, 33.74, 33.72]","[59.31, 64.14, 68.05, 70.78, 70.75]",False,244,MAHABANK,-3,down
SCHNEIDER.NS,1331.4,3.35,986.09,25.91,-21.84,73.83,8,"[19, 10, 11, 7, 8]","[15.55, 20.68, 20.58, 26.21, 25.91]","[42.88, 58.42, 58.16, 74.78, 73.83]",False,245,SCHNEIDER,-2,down
RBLBANK.NS,378.85,0.0,317.32,37.12,-21.86,73.9,8,"[8, 7, 8, 8, 8]","[32.94, 35.06, 33.38, 34.33, 37.12]","[65.49, 69.76, 66.42, 68.25, 73.9]",False,246,RBLBANK,-6,down
CHENNPETRO.NS,1097.8,10.49,963.2,24.09,-22.16,74.93,7,"[7, 6, 6, 5, 7]","[23.55, 25.66, 26.02, 27.18, 24.09]","[72.71, 79.8, 80.85, 84.28, 74.93]",False,247,CHENNPETRO,0,stable
RRKABEL.NS,2321.1,0.0,1607.48,33.41,-22.46,75.94,7,"[10, 9, 9, 9, 7]","[25.94, 26.51, 27.46, 28.09, 33.41]","[58.72, 60.03, 62.18, 63.59, 75.94]",False,248,RRKABEL,-10,down
MCX.NS,2803.8,18.53,2516.73,32.93,-22.94,77.56,6,"[6, 5, 5, 5, 6]","[34.35, 37.76, 39.31, 38.0, 32.93]","[81.48, 89.33, 92.81, 89.76, 77.56]",False,249,MCX,-1,down
ADANIENSOL.NS,1507.4,4.55,1152.43,32.63,-22.95,77.58,6,"[9, 8, 7, 7, 6]","[26.23, 27.18, 29.42, 30.78, 32.63]","[62.71, 64.94, 70.03, 73.17, 77.58]",False,250,ADANIENSOL,-8,down
CUMMINSIND.NS,5865.0,2.7,4805.78,46.19,-23.46,79.32,6,"[7, 7, 6, 6, 6]","[39.83, 42.49, 43.56, 45.83, 46.19]","[68.22, 72.97, 74.68, 78.69, 79.32]",False,251,CUMMINSIND,-6,down
ANANDRATHI.NS,1867.5,0.0,1616.6,46.1,-23.56,79.67,5,"[6, 6, 7, 7, 5]","[45.0, 43.95, 42.65, 45.02, 46.1]","[78.47, 76.51, 74.24, 78.24, 79.67]",False,252,ANANDRATHI,-8,down
CRAFTSMAN.NS,9806.5,0.0,7720.71,36.97,-25.3,85.55,5,"[8, 6, 6, 6, 5]","[27.46, 31.68, 33.6, 34.37, 36.97]","[63.09, 73.25, 77.48, 79.32, 85.55]",False,253,CRAFTSMAN,-7,down
POWERINDIA.NS,36880.0,4.07,26626.63,36.16,-28.92,97.76,5,"[4, 4, 4, 4, 5]","[33.65, 35.74, 38.06, 37.48, 36.16]","[92.3, 97.93, 104.0, 102.25, 97.76]",False,254,POWERINDIA,-4,down
APARINDS.NS,16280.0,0.0,10808.96,37.05,-31.11,105.18,4,"[4, 4, 4, 4, 4]","[31.0, 34.37, 36.44, 37.03, 37.05]","[87.69, 97.76, 103.54, 105.16, 105.18]",False,255,APARINDS,-4,down
ADANIPOWER.NS,231.76,6.89,177.32,39.76,-31.82,107.6,4,"[5, 5, 5, 5, 4]","[32.21, 32.48, 35.72, 34.51, 39.76]","[87.12, 87.82, 96.24, 93.03, 107.6]",False,256,ADANIPOWER,-7,down
NATIONALUM.NS,376.0,14.41,349.26,46.53,-33.19,112.23,3,"[3, 2, 4, 3, 3]","[43.96, 45.98, 43.47, 44.89, 46.53]","[105.46, 110.31, 104.86, 108.27, 112.23]",False,257,NATIONALUM,-4,down
LAURUSLABS.NS,1412.9,2.34,1113.98,62.61,-33.8,114.29,3,"[3, 3, 3, 3, 3]","[59.8, 57.72, 58.37, 57.83, 62.61]","[109.59, 105.73, 106.81, 105.86, 114.29]",False,258,LAURUSLABS,-6,down
IDEA.NS,14.92,0.6,11.0,40.14,-37.28,126.06,3,"[2, 2, 2, 2, 3]","[36.19, 36.72, 36.79, 39.37, 40.14]","[113.77, 115.42, 115.63, 123.69, 126.06]",False,259,IDEA,-3,down
KIRLOSENG.NS,1991.5,0.0,1432.82,50.98,-39.34,133.02,2,"[3, 2, 2, 2, 2]","[42.84, 44.35, 44.25, 48.66, 50.98]","[111.58, 115.64, 115.4, 127.14, 133.02]",False,260,KIRLOSENG,-3,down
GVT&D.NS,5533.5,0.0,3845.13,52.91,-41.71,141.03,2,"[2, 3, 3, 2, 2]","[43.84, 39.05, 42.47, 46.2, 52.91]","[115.28, 102.73, 111.45, 122.26, 141.03]",False,261,GVT&D,-6,down
SYRMA.NS,1334.0,0.95,911.93,58.19,-45.15,152.64,2,"[1, 1, 1, 1, 2]","[51.8, 54.31, 55.83, 56.92, 58.19]","[135.49, 142.27, 146.07, 148.82, 152.64]",False,262,SYRMA,-4,down
HFCL.NS,209.61,0.0,104.93,54.31,-46.22,156.27,1,"[5, 4, 2, 3, 1]","[30.75, 33.99, 40.14, 41.69, 54.31]","[87.6, 97.34, 114.98, 119.36, 156.27]",False,263,HFCL,-9,down
NETWEB.NS,5060.9,0.37,3620.95,50.4,-54.89,185.58,1,"[1, 1, 1, 1, 1]","[36.56, 39.51, 46.31, 47.77, 50.4]","[134.89, 145.41, 170.66, 175.98, 185.58]",False,264,NETWEB,-5,down
ATHERENERG.NS,971.7,6.75,779.84,66.49,-59.97,202.76,0,"[0, 0, 0, 0, 0]","[72.93, 75.52, 71.61, 70.7, 66.49]","[221.92, 229.4, 218.05, 215.35, 202.76]",False,265,ATHERENERG,-5,down
