symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rs_h,vol_h,perf_h,rs_up,rank,symbol_clean,rank_diff,rank_status
JINDALSAW.NS,260.88,1.2,206.0,4.59,-3.85,13.03,57,"[77, 73, 72, 63, 57]","[-1.04, -0.32, 0.61, 3.17, 4.59]","[-2.94, -0.9, 1.73, 9.0, 13.03]",False,115,JINDALSAW,-17,down
ZYDUSLIFE.NS,1070.8,3.17,963.38,9.62,-3.87,13.1,57,"[51, 53, 56, 61, 57]","[10.19, 9.16, 8.43, 7.42, 9.62]","[13.81, 12.44, 11.47, 10.11, 13.1]",False,116,ZYDUSLIFE,-14,down
SIEMENS.NS,3759.6,3.07,3382.47,6.95,-3.9,13.19,56,"[64, 61, 57, 52, 56]","[3.09, 3.96, 5.97, 7.51, 6.95]","[5.87, 7.52, 11.31, 14.28, 13.19]",False,117,SIEMENS,10,up
TIINDIA.NS,3285.6,3.41,2840.75,6.25,-3.93,13.29,56,"[69, 61, 59, 59, 56]","[0.87, 3.13, 4.56, 5.36, 6.25]","[1.86, 6.7, 9.75, 11.44, 13.29]",False,118,TIINDIA,-11,down
CANFINHOME.NS,885.35,6.82,855.14,8.16,-3.93,13.3,56,"[61, 60, 58, 55, 56]","[4.77, 4.81, 6.65, 7.77, 8.16]","[7.82, 7.88, 10.88, 12.71, 13.3]",False,119,CANFINHOME,-2,down
JSWENERGY.NS,570.1,4.98,522.2,7.33,-4.04,13.65,55,"[65, 62, 61, 54, 55]","[2.8, 3.25, 4.89, 7.1, 7.33]","[5.26, 6.1, 9.13, 13.24, 13.65]",False,120,JSWENERGY,1,up
KAJARIACER.NS,1170.4,9.72,1070.63,8.07,-4.59,15.52,55,"[67, 63, 60, 57, 55]","[1.38, 2.97, 4.88, 6.27, 8.07]","[2.64, 5.68, 9.4, 12.08, 15.52]",False,121,KAJARIACER,-9,down
AADHARHFC.NS,515.1,4.58,481.48,9.26,-4.61,15.57,54,"[58, 60, 59, 54]","[5.87, 5.91, 6.97, 9.26]","[9.64, 9.72, 11.44, 15.57]",False,122,AADHARHFC,-14,down
ENGINERSIN.NS,250.74,4.43,215.69,5.91,-4.63,15.64,54,"[75, 64, 65, 60, 54]","[-0.37, 1.93, 2.6, 4.21, 5.91]","[-0.98, 5.05, 6.8, 11.08, 15.64]",False,123,ENGINERSIN,-17,down
LLOYDSME.NS,1766.2,4.92,1473.44,7.03,-4.71,15.92,54,"[45, 42, 43, 45, 54]","[7.46, 7.65, 7.96, 7.97, 7.03]","[16.91, 17.35, 18.04, 18.05, 15.92]",False,124,LLOYDSME,19,up
TBOTEK.NS,1489.8,13.92,1350.44,6.44,-4.72,15.96,53,"[72, 59, 61, 54, 53]","[0.32, 3.38, 3.75, 5.29, 6.44]","[0.79, 8.37, 9.26, 13.11, 15.96]",False,125,TBOTEK,-5,down
3MINDIA.NS,33125.0,11.98,32797.88,8.66,-4.82,16.31,53,"[50, 53]","[8.17, 8.66]","[15.38, 16.31]",True,126,3MINDIA,6,up
WOCKPHARMA.NS,2011.1,6.59,1513.5,5.03,-4.85,16.41,52,"[37, 66, 63, 53, 52]","[7.33, 1.28, 2.32, 4.25, 5.03]","[25.31, 4.18, 7.55, 13.88, 16.41]",False,127,WOCKPHARMA,-3,down
SHYAMMETL.NS,970.3,3.16,878.37,9.55,-4.92,16.63,52,"[52, 51, 50, 50, 52]","[7.12, 7.76, 8.27, 8.48, 9.55]","[12.42, 13.5, 14.37, 14.72, 16.63]",False,128,SHYAMMETL,2,up
PHOENIXLTD.NS,1881.1,3.57,1717.19,9.87,-4.96,16.77,52,"[60, 54, 48, 47, 52]","[4.88, 7.1, 9.76, 10.19, 9.87]","[8.19, 12.11, 16.58, 17.31, 16.77]",False,129,PHOENIXLTD,10,up
IPCALAB.NS,1585.8,4.25,1494.76,8.8,-4.98,16.84,51,"[47, 51, 54, 56, 51]","[8.2, 7.12, 6.42, 6.61, 8.8]","[15.63, 13.57, 12.25, 12.6, 16.84]",False,130,IPCALAB,-15,down
TIMKEN.NS,3689.4,1.62,3324.3,9.53,-4.99,16.89,51,"[65, 65, 54, 62, 51]","[2.78, 2.4, 7.03, 5.65, 9.53]","[4.94, 4.27, 12.45, 10.0, 16.89]",False,131,TIMKEN,-30,down
INDUSINDBK.NS,947.45,1.78,871.71,9.55,-5.06,17.09,50,"[60, 55, 56, 51, 50]","[4.78, 6.46, 6.46, 8.16, 9.55]","[8.56, 11.59, 11.58, 14.61, 17.09]",False,132,INDUSINDBK,-3,down
KPIL.NS,1398.7,0.0,1212.26,9.19,-5.06,17.12,50,"[53, 55, 43, 43, 50]","[6.6, 6.22, 9.66, 10.11, 9.19]","[12.18, 11.46, 18.02, 18.85, 17.12]",False,133,KPIL,15,up
ELGIEQUIP.NS,612.75,1.51,523.04,8.09,-5.1,17.24,50,"[50, 45, 52, 57, 50]","[6.63, 7.54, 6.42, 5.79, 8.09]","[14.12, 16.06, 13.69, 12.33, 17.24]",False,134,ELGIEQUIP,-20,down
LT.NS,4209.4,3.79,3901.79,11.02,-5.13,17.34,49,"[55, 49, 45, 44, 49]","[7.08, 9.03, 10.99, 11.71, 11.02]","[11.12, 14.27, 17.3, 18.44, 17.34]",False,135,LT,11,up
MOTILALOFS.NS,953.45,11.93,834.62,7.13,-5.23,17.67,49,"[69, 56, 50, 49, 49]","[0.78, 4.55, 5.84, 6.34, 7.13]","[1.93, 11.31, 14.5, 15.73, 17.67]",False,136,MOTILALOFS,-2,down
BIOCON.NS,415.5,4.73,386.34,11.1,-5.32,17.98,49,"[40, 41, 41, 48, 49]","[14.02, 10.82, 11.34, 9.89, 11.1]","[22.97, 17.54, 18.38, 16.04, 17.98]",False,137,BIOCON,-2,down
AGARWALEYE.NS,466.65,14.49,460.45,10.26,-5.37,18.14,48,[48],[10.26],[18.14],False,138,AGARWALEYE,0,new
GRASIM.NS,3149.5,0.7,2863.74,13.59,-5.42,18.33,48,"[48, 43, 46, 44, 48]","[11.16, 12.28, 12.69, 13.81, 13.59]","[15.1, 16.67, 17.2, 18.7, 18.33]",False,139,GRASIM,8,up
