symbol,price,pullback_pct,volume_ratio,high_volume_alert,rs_3m_score,has_gap,has_vol,rs_percentile,rank,screener_section
VLO,302.99,3.38,0.95,False,0.242206110562192,True,False,86,21,GAP_ONLY
MHK,132.42,5.25,1.14,False,0.2380675466372144,True,False,86,22,GAP_ONLY
AMAT,527.48,27.04,0.52,False,0.23531122168354401,True,False,85,23,GAP_ONLY
ADP,273.51,9.03,1.1,False,0.2364225591037048,True,False,85,24,GAP_ONLY
MET,99.95,0.0,1.05,False,0.23489553591963652,True,False,84,25,GAP_ONLY
CAH,237.66,0.86,0.8,False,0.2346825172378304,True,False,83,26,GAP_ONLY
GPC,132.79,9.24,0.67,False,0.22459150544053208,True,False,83,27,GAP_ONLY
AIZ,296.4,1.71,1.3,False,0.2212830370108223,True,False,82,28,GAP_ONLY
DAL,91.98,1.55,0.8,False,0.21373982345611764,True,False,81,29,GAP_ONLY
GRMN,301.87,1.79,0.67,False,0.20262290374464542,True,False,80,30,GAP_ONLY
HSIC,88.23,1.52,0.79,False,0.2006723840038951,True,False,79,31,GAP_ONLY
APH,170.61,3.24,0.76,False,0.19985922997355532,True,False,79,32,GAP_ONLY
FDS,274.58,28.74,0.89,False,0.181077540476267,True,False,76,33,GAP_ONLY
GE,374.55,1.75,0.92,False,0.1883756270402266,True,False,76,34,GAP_ONLY
PSX,205.52,3.18,0.99,False,0.17912818173379152,True,False,75,35,GAP_ONLY
LLY,1191.94,3.53,1.3,False,0.17384011291121326,True,False,74,36,GAP_ONLY
EXPE,306.57,4.09,1.43,False,0.16450360688025478,True,False,74,37,GAP_ONLY
BKNG,207.39,8.6,1.11,False,0.1630512759537761,True,False,73,38,GAP_ONLY
INCY,118.38,8.89,1.24,False,0.1599838473255173,True,False,72,39,GAP_ONLY
NUE,272.0,1.0,0.89,False,0.15195327863804864,True,False,71,40,GAP_ONLY
AMCR,47.06,4.17,0.86,False,0.14767840667458976,True,False,70,41,GAP_ONLY
COO,73.32,13.05,0.98,False,0.14898659050179353,True,False,70,42,GAP_ONLY
AMD,489.28,15.77,0.82,False,0.14704814879076866,True,False,69,43,GAP_ONLY
IVZ,31.69,1.0,0.99,False,0.1395528123309424,True,False,68,44,GAP_ONLY
MSFT,499.86,7.2,0.93,False,0.13972086782170012,True,False,68,45,GAP_ONLY
EXPD,178.56,2.32,0.71,False,0.13106211285307334,True,False,67,46,GAP_ONLY
TGT,147.08,1.52,0.69,False,0.12863657359069314,True,False,67,47,GAP_ONLY
ZBH,97.19,8.82,1.18,False,0.1180477546790688,True,False,66,48,GAP_ONLY
MA,575.95,3.24,1.0,False,0.10084878581345436,True,False,64,49,GAP_ONLY
RCL,320.55,10.88,0.5,False,0.09637575622065597,True,False,63,50,GAP_ONLY
CLX,105.6,15.91,0.75,False,0.09563827567776628,True,False,62,51,GAP_ONLY
GEHC,70.31,20.13,0.72,False,0.09606458643029336,True,False,62,52,GAP_ONLY
F,13.79,20.93,1.09,False,0.09563805205112841,True,False,61,53,GAP_ONLY
CSX,50.7,4.75,0.81,False,0.09302964087556198,True,False,61,54,GAP_ONLY
IR,88.24,10.61,1.18,False,0.08808267901549471,True,False,60,55,GAP_ONLY
LUV,46.94,13.6,0.79,False,0.08822562278807045,True,False,60,56,GAP_ONLY
SHW,363.42,2.45,0.89,False,0.08706842427598982,True,False,59,57,GAP_ONLY
PLTR,155.92,24.74,0.95,False,0.08686991154814949,True,False,58,58,GAP_ONLY
FSLR,244.14,23.29,1.64,False,0.08699343773306523,True,False,58,59,GAP_ONLY
ROP,397.08,26.07,0.69,False,0.0786683687394194,True,False,57,60,GAP_ONLY
ROST,254.31,0.0,0.67,False,0.0842890114769288,True,False,57,61,GAP_ONLY
FCX,68.18,4.71,0.87,False,0.07681017801094647,True,False,56,62,GAP_ONLY
ETN,448.19,0.0,0.7,False,0.07514709021410271,True,False,55,63,GAP_ONLY
STLD,261.48,7.32,0.74,False,0.07434626969667435,True,False,54,64,GAP_ONLY
STX,852.95,21.98,1.0,False,0.06284896540992824,True,False,52,65,GAP_ONLY
GS,1032.58,10.37,0.83,False,0.06935180591557244,True,False,52,66,GAP_ONLY
VLTO,98.02,10.21,0.81,False,0.05551102366570171,True,False,51,67,GAP_ONLY
JCI,154.55,0.0,1.05,False,0.06212838793164943,True,False,51,68,GAP_ONLY
CB,354.03,2.61,0.8,False,0.054557098145734395,True,False,50,69,GAP_ONLY
IEX,233.71,1.76,0.6,False,0.04431123868245801,True,False,48,70,GAP_ONLY
HD,349.52,15.74,0.69,False,0.04062105670932925,True,False,46,71,GAP_ONLY
TER,384.89,20.45,0.7,False,0.036515736422702894,True,False,45,72,GAP_ONLY
IFF,84.55,4.0,1.44,False,0.035268541521309205,True,False,44,73,GAP_ONLY
WY,25.45,4.46,1.45,False,0.032230735384708664,True,False,43,74,GAP_ONLY
BIIB,206.28,4.78,0.64,False,0.027038516102400267,True,False,41,75,GAP_ONLY
MTD,1421.24,5.63,0.74,False,0.026459349215371963,True,False,40,76,GAP_ONLY
CCL,28.79,14.39,0.75,False,0.02201034717673256,True,False,39,77,GAP_ONLY
CPT,110.74,5.82,0.58,False,0.023024901543260867,True,False,39,78,GAP_ONLY
AME,251.38,1.33,0.94,False,0.02172118308300708,True,False,38,79,GAP_ONLY
MKTX,162.62,15.54,0.71,False,0.020315026642929057,True,False,37,80,GAP_ONLY
LRCX,305.77,29.44,0.64,False,0.017120269600524596,True,False,36,81,GAP_ONLY
TRGP,268.23,5.64,1.41,False,0.016705332646006266,True,False,35,82,GAP_ONLY
INVH,30.37,0.72,1.67,False,0.008227961507010217,True,False,34,83,GAP_ONLY
AVY,173.99,10.88,0.91,False,0.007027719536716992,True,False,33,84,GAP_ONLY
EXR,149.54,2.17,0.72,False,0.004296255398219984,True,False,33,85,GAP_ONLY
EOG,136.2,8.4,1.41,False,-0.002526134672530489,True,False,32,86,GAP_ONLY
CVX,189.23,9.56,0.96,False,-0.004443349557776921,True,False,30,87,GAP_ONLY
MAA,133.63,4.93,0.95,False,-0.013864416390238388,True,False,29,88,GAP_ONLY
NVDA,218.99,7.0,0.87,False,-0.014196515326683423,True,False,28,89,GAP_ONLY
HUBB,507.73,8.71,0.69,False,-0.01792749689008688,True,False,27,90,GAP_ONLY
SWKS,66.84,19.88,0.63,False,-0.014212101635801444,True,False,27,91,GAP_ONLY
TEL,215.08,13.02,0.51,False,-0.02296130316522116,True,False,25,92,GAP_ONLY
APD,299.92,4.54,0.59,False,-0.02778868924881661,True,False,24,93,GAP_ONLY
AVGO,420.57,12.53,0.7,False,-0.029788240816196465,True,False,23,94,GAP_ONLY
O,62.36,5.68,1.2,False,-0.028462602610317633,True,False,23,95,GAP_ONLY
SBUX,105.16,2.96,0.75,False,-0.036272941972838924,True,False,21,96,GAP_ONLY
ADBE,260.24,29.18,0.87,False,-0.03627575859275933,True,False,20,97,GAP_ONLY
EVRG,83.02,5.8,1.06,False,-0.03890433907484403,True,False,20,98,GAP_ONLY
ADM,77.51,11.23,1.17,False,-0.044483479641117096,True,False,19,99,GAP_ONLY
AMZN,272.26,4.14,0.61,False,-0.04679742032881773,True,False,18,100,GAP_ONLY
BA,232.19,7.92,1.15,False,-0.045796016491914227,True,False,18,101,GAP_ONLY
MO,67.75,9.57,1.23,False,-0.05482639063179329,True,False,17,102,GAP_ONLY
WMB,71.76,8.95,1.06,False,-0.05986543659033239,True,False,15,103,GAP_ONLY
BKR,62.75,9.63,0.55,False,-0.0630946704313311,True,False,15,104,GAP_ONLY
ORLY,93.37,13.4,0.51,False,-0.06361041779736598,True,False,14,105,GAP_ONLY
JBL,344.67,10.62,1.05,False,-0.06469622857330526,True,False,13,106,GAP_ONLY
TXN,278.4,15.79,0.59,False,-0.06979954970476032,True,False,12,107,GAP_ONLY
DIS,104.68,10.65,1.19,False,-0.08006327529211354,True,False,11,108,GAP_ONLY
ADSK,242.47,25.8,0.62,False,-0.08495498059883777,True,False,10,109,GAP_ONLY
IRM,121.96,8.34,1.39,False,-0.08248791771463038,True,False,10,110,GAP_ONLY
CAT,856.96,19.38,0.91,False,-0.09228253565810929,True,False,9,111,GAP_ONLY
CARR,63.96,15.54,0.66,False,-0.09589288169578192,True,False,8,112,GAP_ONLY
GEV,1000.3,14.86,0.62,False,-0.0936801484829145,True,False,8,113,GAP_ONLY
CMI,643.98,11.49,0.79,False,-0.1048198133740712,True,False,7,114,GAP_ONLY
KEYS,336.96,9.74,0.73,False,-0.10179434246626351,True,False,7,115,GAP_ONLY
ADI,377.31,15.3,0.91,False,-0.12468485989720046,True,False,5,116,GAP_ONLY
NEM,105.43,19.75,1.1,False,-0.11966731197179481,True,False,5,117,GAP_ONLY
INTC,99.81,29.18,0.67,False,-0.14030803920040813,True,False,4,118,GAP_ONLY
DVA,180.67,25.02,2.0,False,-0.13025245165815402,True,False,4,119,GAP_ONLY
GOOG,356.62,10.58,0.77,False,-0.14812379816851284,True,False,3,120,GAP_ONLY
GOOGL,357.75,11.09,0.78,False,-0.1513881589984475,True,False,2,121,GAP_ONLY
PWR,667.84,14.94,0.71,False,-0.1610935798434291,True,False,2,122,GAP_ONLY
MPWR,1359.08,19.45,0.66,False,-0.1871188794955968,True,False,1,123,GAP_ONLY
LYB,61.44,24.64,1.1,False,-0.18264868973933301,True,False,1,124,GAP_ONLY
