symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rank,symbol_clean,rank_diff,rank_status
EICHERMOT.NS,7027.5,14.19,6928.35,29.54,7.2,41.88,52,65,EICHERMOT,0,stable
MOTHERSON.NS,117.78,12.96,112.88,19.69,7.16,41.66,51,66,MOTHERSON,0,stable
SOLARINDS.NS,13699.0,22.11,13695.55,20.54,6.9,40.14,50,67,SOLARINDS,0,stable
TORNTPHARM.NS,4289.3,3.52,3820.32,30.59,6.83,39.74,50,68,TORNTPHARM,0,stable
SBILIFE.NS,1962.5,6.84,1940.22,31.84,6.79,39.48,49,69,SBILIFE,0,stable
TITAN.NS,4145.5,4.54,3883.12,30.36,6.49,37.73,48,70,TITAN,0,stable
J&KBANK.NS,123.51,3.14,105.93,16.17,6.3,36.66,47,71,J&KBANK,0,stable
IFCI.NS,56.09,21.84,55.47,11.51,6.24,36.31,47,72,IFCI,0,stable
HINDALCO.NS,933.05,8.89,838.46,20.69,6.23,36.25,46,73,HINDALCO,0,stable
INDUSTOWER.NS,440.95,7.7,410.67,20.69,6.16,35.82,45,74,INDUSTOWER,0,stable
BHEL.NS,260.15,14.3,258.02,16.5,5.95,34.64,44,75,BHEL,0,stable
TATASTEEL.NS,195.41,9.33,179.45,17.78,5.68,33.05,44,76,TATASTEEL,0,stable
NMDC.NS,79.49,4.94,75.28,17.81,5.61,32.62,42,77,NMDC,0,stable
ADANIENSOL.NS,1036.7,2.0,945.5,14.56,5.61,32.61,42,78,ADANIENSOL,0,stable
ASTRAL.NS,1668.4,4.46,1489.59,17.35,5.54,32.24,41,79,ASTRAL,0,stable
TIMKEN.NS,3379.1,3.39,3105.73,16.29,5.51,32.08,41,80,TIMKEN,0,stable
OIL.NS,470.45,7.21,432.62,16.85,5.46,31.76,40,81,OIL,0,stable
STARHEALTH.NS,461.7,11.63,456.56,18.38,5.31,30.9,39,82,STARHEALTH,0,stable
JINDALSTEL.NS,1179.2,6.89,1068.62,16.7,5.3,30.84,38,83,JINDALSTEL,0,stable
COALINDIA.NS,455.2,3.17,398.37,20.89,4.81,27.98,38,84,COALINDIA,0,stable
MARICO.NS,756.0,6.71,739.3,23.34,4.67,27.18,37,85,MARICO,0,stable
BAJAJ-AUTO.NS,9271.0,8.3,9115.32,18.55,4.55,26.49,36,86,BAJAJ-AUTO,0,stable
ACMESOLAR.NS,248.69,21.92,243.62,10.8,4.5,26.21,35,87,ACMESOLAR,0,stable
ONGC.NS,265.0,6.09,244.39,16.59,4.21,24.48,35,88,ONGC,0,stable
BRITANNIA.NS,5885.0,6.59,5867.88,20.03,4.2,24.42,34,89,BRITANNIA,0,stable
ABB.NS,6337.5,1.12,5464.75,14.71,4.18,24.29,33,90,ABB,0,stable
AXISBANK.NS,1253.2,10.68,1246.05,16.65,4.13,24.04,32,91,AXISBANK,0,stable
GRANULES.NS,587.15,5.18,553.59,11.98,4.08,23.73,32,92,GRANULES,0,stable
SCHAEFFLER.NS,4053.8,6.96,3926.6,12.5,4.05,23.55,31,93,SCHAEFFLER,0,stable
NATCOPHARM.NS,957.9,7.82,885.59,10.16,3.94,22.91,30,94,NATCOPHARM,0,stable
APOLLOHOSP.NS,7471.0,6.63,7371.52,17.67,3.77,21.92,29,95,APOLLOHOSP,0,stable
AJANTPHARM.NS,3056.6,2.02,2706.85,12.63,3.69,21.45,29,96,AJANTPHARM,0,stable
SUPREMEIND.NS,4010.8,13.27,3824.72,11.14,3.52,20.48,28,97,SUPREMEIND,0,stable
INOXINDIA.NS,1189.2,6.13,1152.71,11.46,3.34,19.41,27,98,INOXINDIA,0,stable
AIAENG.NS,3719.6,9.46,3622.57,11.45,3.27,19.04,26,99,AIAENG,0,stable
LINDEINDIA.NS,7221.5,4.66,6335.31,10.19,3.16,18.39,26,100,LINDEINDIA,0,stable
DRREDDY.NS,1294.8,4.38,1256.04,13.56,3.08,17.9,25,101,DRREDDY,0,stable
BIOCON.NS,382.6,9.25,375.26,10.21,3.07,17.84,24,102,BIOCON,0,stable
LUPIN.NS,2302.4,2.33,2103.31,11.9,3.06,17.8,23,103,LUPIN,0,stable
NTPC.NS,378.5,3.09,343.75,14.43,3.04,17.67,23,104,NTPC,0,stable
IPCALAB.NS,1543.6,1.99,1432.85,8.28,3.0,17.46,22,105,IPCALAB,0,stable
JSWSTEEL.NS,1180.3,7.83,1148.72,10.64,2.94,17.13,21,106,JSWSTEEL,0,stable
CGPOWER.NS,707.15,10.54,680.49,8.06,2.87,16.72,20,107,CGPOWER,0,stable
BANDHANBNK.NS,163.5,13.0,161.17,7.87,2.85,16.56,20,108,BANDHANBNK,0,stable
IGIL.NS,339.15,17.45,334.55,6.67,2.84,16.54,18,109,IGIL,0,stable
NLCINDIA.NS,261.85,6.92,249.41,8.13,2.84,16.5,18,110,NLCINDIA,0,stable
POWERGRID.NS,299.4,3.38,278.73,11.41,2.71,15.76,17,111,POWERGRID,0,stable
ATUL.NS,6351.0,17.2,6270.36,8.17,2.66,15.49,17,112,ATUL,0,stable
KSB.NS,811.3,8.23,763.83,8.5,2.59,15.04,16,113,KSB,0,stable
AUROPHARMA.NS,1269.0,3.27,1170.36,8.31,2.57,14.97,15,114,AUROPHARMA,0,stable
PFC.NS,432.25,0.0,386.86,7.66,2.39,13.9,14,115,PFC,0,stable
TATAPOWER.NS,400.35,3.46,382.54,9.02,2.24,13.04,14,116,TATAPOWER,0,stable
TORNTPOWER.NS,1454.3,9.18,1361.64,6.38,2.07,12.06,13,117,TORNTPOWER,0,stable
SIEMENS.NS,3220.9,5.78,3151.26,6.7,2.04,11.85,12,118,SIEMENS,0,stable
FINCABLES.NS,876.95,10.73,819.0,5.41,1.91,11.1,11,119,FINCABLES,0,stable
AARTIIND.NS,432.9,10.83,403.56,4.88,1.86,10.8,11,120,AARTIIND,0,stable
SUNDARMFIN.NS,5000.0,10.42,4992.34,4.1,1.39,8.1,10,121,SUNDARMFIN,0,stable
SUNPHARMA.NS,1778.3,2.61,1704.92,5.85,1.22,7.09,9,122,SUNPHARMA,0,stable
SUNTV.NS,598.35,10.86,568.84,3.3,1.18,6.87,8,123,SUNTV,0,stable
PETRONET.NS,291.6,9.83,284.76,3.61,1.02,5.91,8,124,PETRONET,0,stable
SONACOMS.NS,511.8,6.15,485.48,0.97,0.35,2.06,7,125,SONACOMS,0,stable
THERMAX.NS,3279.2,16.87,3127.89,0.46,0.16,0.93,6,126,THERMAX,0,stable
NTPCGREEN.NS,97.85,16.12,95.79,0.19,0.06,0.35,5,127,NTPCGREEN,0,stable
JSWENERGY.NS,509.1,11.15,498.96,-0.42,-0.14,-0.79,5,128,JSWENERGY,0,stable
VOLTAS.NS,1422.6,8.88,1399.54,-0.58,-0.18,-1.03,4,129,VOLTAS,0,stable
SARDAEN.NS,526.95,15.84,512.84,-0.69,-0.33,-1.9,3,130,SARDAEN,0,stable
AKUMS.NS,481.3,18.97,468.05,-3.39,-1.19,-6.94,2,131,AKUMS,0,stable
HFCL.NS,72.63,20.93,71.95,-3.26,-1.39,-8.07,2,132,HFCL,0,stable
JINDALSAW.NS,198.05,29.45,188.71,-7.7,-3.8,-22.11,1,133,JINDALSAW,0,stable
