symbol,symbol_clean,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rank,rs_h,vol_h,perf_h,rs_up,rs_bars,rank_status,rank_diff,rank_delta
GE,GE,366.7,3.81,315.43,59.9,0.5323,122.29,89,39,[89],[59.9],[122.29],False,[12.7],new,0,
GOOGL,GOOGL,357.52,11.15,322.52,60.73,0.5303,122.0,89,40,"[93, 93, 90, 90, 89]","[40.44, 39.36, 59.82, 60.73, 60.73]","[82.96, 80.8, 120.16, 122.0, 122.0]",False,"[13.2, 13.2, 12.8, 12.8, 12.7]",down,-35,-35.0
GS,GS,1034.51,10.2,923.11,59.39,0.5298,121.93,89,41,[89],[59.39],[121.93],False,[12.7],new,0,
VLO,VLO,314.95,0.0,230.34,51.11,0.5115,119.28,88,42,[88],[51.11],[119.28],False,[12.6],new,0,
GOOG,GOOG,355.84,10.77,321.48,59.77,0.5076,118.71,88,43,"[93, 92, 87, 87, 88]","[40.31, 39.33, 58.85, 59.77, 59.77]","[81.62, 79.68, 116.87, 118.71, 118.71]",False,"[13.2, 13.0, 12.4, 12.4, 12.6]",down,-37,-37.0
FFIV,FFIV,409.99,4.93,339.12,57.75,0.4938,116.71,88,44,[88],[57.75],[116.71],False,[12.6],new,0,
IVZ,IVZ,31.74,0.84,25.86,49.46,0.4877,115.82,88,45,[88],[49.46],[115.82],False,[12.6],new,0,
GM,GM,87.96,2.59,75.65,48.04,0.4383,108.65,87,46,[87],[48.04],[108.65],False,[12.4],new,0,
WELL,WELL,235.04,6.76,205.75,76.9,0.4306,107.53,87,47,[87],[76.9],[107.53],False,[12.4],new,0,
RCL,RCL,308.0,14.37,286.92,37.09,0.4189,105.85,87,48,[87],[37.09],[105.85],False,[12.4],new,0,
GL,GL,183.26,1.48,153.9,68.77,0.404,103.68,86,49,[86],[68.77],[103.68],False,[12.3],new,0,
TRGP,TRGP,266.21,6.35,233.17,49.82,0.3896,101.59,86,50,[86],[49.82],[101.59],False,[12.3],new,0,
LYV,LYV,184.64,1.05,161.93,53.22,0.3895,101.57,86,51,[86],[53.22],[101.57],False,[12.3],new,0,
NUE,NUE,274.61,0.05,203.38,43.74,0.3805,100.27,86,52,[86],[43.74],[100.27],False,[12.3],new,0,
NVDA,NVDA,217.55,7.61,192.98,34.87,0.3778,99.88,85,53,[85],[34.87],[99.88],False,[12.2],new,0,
RTX,RTX,224.12,0.0,185.22,61.29,0.3743,99.38,85,54,[85],[61.29],[99.38],False,[12.2],new,0,
MNST,MNST,45.72,8.52,41.1,63.2,0.3734,99.24,85,55,[85],[63.2],[99.24],False,[12.2],new,0,
EBAY,EBAY,107.71,9.21,99.33,45.26,0.371,98.89,84,56,[84],[45.26],[98.89],False,[12.1],new,0,
INCY,INCY,121.55,6.45,100.85,45.16,0.3709,98.87,84,57,[84],[45.16],[98.87],False,[12.1],new,0,
CFG,CFG,72.67,1.69,61.71,49.77,0.3578,96.97,84,58,[84],[49.77],[96.97],False,[12.1],new,0,
CCL,CCL,27.75,17.05,27.24,30.92,0.3312,93.12,84,59,[84],[30.92],[93.12],False,[12.1],new,0,
GILD,GILD,133.06,13.55,128.11,55.22,0.3309,93.08,83,60,[83],[55.22],[93.08],False,[12.0],new,0,
GRMN,GRMN,313.16,0.0,237.14,38.69,0.3222,91.81,83,61,[83],[38.69],[91.81],False,[12.0],new,0,
WAB,WAB,294.16,3.8,249.56,53.33,0.3175,91.14,83,62,[83],[53.33],[91.14],False,[12.0],new,0,
ETR,ETR,105.65,9.98,104.34,60.53,0.3128,90.45,82,63,[82],[60.53],[90.45],False,[11.8],new,0,
PH,PH,1060.5,1.25,898.72,49.45,0.3122,90.35,82,64,[82],[49.45],[90.35],False,[11.8],new,0,
MPC,MPC,320.32,0.0,235.7,40.79,0.3047,89.27,82,65,[82],[40.79],[89.27],False,[11.8],new,0,
BKR,BKR,64.07,7.39,56.48,40.99,0.3045,89.24,82,66,[82],[40.99],[89.24],False,[11.8],new,0,
ADI,ADI,383.92,13.82,343.25,36.23,0.2863,86.61,81,67,"[91, 91, 85, 85, 81]","[32.63, 34.22, 36.72, 36.23, 36.23]","[73.26, 77.11, 87.75, 86.61, 86.61]",False,"[12.9, 12.9, 12.2, 12.2, 11.7]",down,-60,-60.0
WSM,WSM,250.82,0.38,202.27,31.12,0.2827,86.09,81,68,[81],[31.12],[86.09],False,[11.7],new,0,
TRV,TRV,375.62,5.44,308.02,58.75,0.2754,85.02,81,69,[81],[58.75],[85.02],False,[11.7],new,0,
CVS,CVS,95.67,12.96,86.23,39.08,0.275,84.97,81,70,[81],[39.08],[84.97],False,[11.7],new,0,
ROST,ROST,254.83,0.16,207.47,51.74,0.2739,84.8,80,71,[80],[51.74],[84.8],False,[11.6],new,0,
LUV,LUV,44.9,17.35,41.94,31.43,0.2713,84.43,80,72,[80],[31.43],[84.43],False,[11.6],new,0,
JPM,JPM,359.79,0.0,311.3,51.79,0.2534,81.83,80,73,[80],[51.79],[81.83],False,[11.6],new,0,
DE,DE,609.28,7.52,558.15,43.15,0.2499,81.33,79,74,[79],[43.15],[81.33],False,[11.5],new,0,
SCHW,SCHW,107.99,0.03,94.73,48.4,0.2326,78.81,79,75,[79],[48.4],[78.81],False,[11.5],new,0,
WMB,WMB,71.85,8.84,68.83,49.12,0.2237,77.53,79,76,[79],[49.12],[77.53],False,[11.5],new,0,
SYF,SYF,78.19,10.52,72.32,32.5,0.2222,77.31,79,77,[79],[32.5],[77.31],False,[11.5],new,0,
ROK,ROK,435.22,12.09,413.8,37.08,0.2186,76.79,78,78,[78],[37.08],[76.79],False,[11.4],new,0,
WFC,WFC,87.52,7.71,82.02,40.27,0.2105,75.6,78,79,[78],[40.27],[75.6],False,[11.4],new,0,
BAC,BAC,63.86,0.0,53.65,47.89,0.2073,75.14,78,80,[78],[47.89],[75.14],False,[11.4],new,0,
BEN,BEN,33.52,6.29,28.13,37.65,0.2027,74.48,77,81,[77],[37.65],[74.48],False,[11.2],new,0,
FCX,FCX,70.51,1.45,58.22,24.64,0.1995,74.01,77,82,[77],[24.64],[74.01],False,[11.2],new,0,
JNJ,JNJ,261.81,2.03,226.46,61.96,0.1947,73.31,77,83,[77],[61.96],[73.31],False,[11.2],new,0,
PM,PM,186.0,7.08,171.83,41.88,0.1893,72.54,77,84,[77],[41.88],[72.54],False,[11.2],new,0,
TTWO,TTWO,253.57,3.32,228.3,36.9,0.1867,72.16,76,85,[76],[36.9],[72.16],False,[11.1],new,0,
ULTA,ULTA,548.66,22.38,523.3,30.2,0.1799,71.16,76,86,[76],[30.2],[71.16],False,[11.1],new,0,
VRSN,VRSN,293.34,5.37,264.07,42.03,0.174,70.31,76,87,[76],[42.03],[70.31],False,[11.1],new,0,
MPWR,MPWR,1381.1,18.15,1242.14,18.97,0.1732,70.19,75,88,[75],[18.97],[70.19],False,[11.0],new,0,
PSX,PSX,215.52,0.0,166.2,33.23,0.1719,70.01,75,89,[75],[33.23],[70.01],False,[11.0],new,0,
COF,COF,218.97,14.42,201.46,30.6,0.1702,69.76,75,90,[75],[30.6],[69.76],False,[11.0],new,0,
TDY,TDY,690.25,0.15,609.45,44.86,0.1674,69.35,75,91,[75],[44.86],[69.35],False,[11.0],new,0,
DASH,DASH,209.86,25.51,187.8,25.63,0.1662,69.19,74,92,[74],[25.63],[69.19],False,[10.9],new,0,
USB,USB,64.19,0.43,55.0,41.89,0.1598,68.26,74,93,[74],[41.89],[68.26],False,[10.9],new,0,
URI,URI,1137.52,2.18,940.36,26.94,0.1593,68.18,74,94,[74],[26.94],[68.18],False,[10.9],new,0,
NTAP,NTAP,198.72,0.0,131.96,26.59,0.1567,67.8,73,95,[73],[26.59],[67.8],False,[10.8],new,0,
RJF,RJF,179.09,0.81,157.98,39.4,0.1521,67.14,73,96,[73],[39.4],[67.14],False,[10.8],new,0,
FOXA,FOXA,63.42,16.26,60.14,33.95,0.1496,66.78,73,97,[73],[33.95],[66.78],False,[10.8],new,0,
JBHT,JBHT,266.14,10.66,233.57,29.19,0.1492,66.71,72,98,[72],[29.19],[66.71],False,[10.6],new,0,
AMZN,AMZN,278.09,2.09,238.23,30.97,0.1492,66.72,72,99,"[49, 49, 79, 82, 72]","[10.38, 10.63, 30.63, 30.97, 30.97]","[22.47, 23.01, 65.99, 66.72, 66.72]",False,"[7.9, 7.9, 11.5, 11.8, 10.6]",down,-91,-91.0
MTB,MTB,251.13,1.15,217.0,40.67,0.1462,66.29,72,100,[72],[40.67],[66.29],False,[10.6],new,0,
