symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
WMB,Energy,71.25,0.0027666199201104025,-3.08,23.77,44,"[43, 43, 43, 46, 44]",False,177,3,up
BMY,Health Care,55.28,-0.0014794840496468176,-3.89,4.2,43,"[35, 35, 38, 43, 43]",False,178,12,up
MO,Consumer Staples,68.95,-0.0030040298999733928,9.35,22.12,43,"[51, 51, 52, 49, 43]",False,179,-6,down
ETN,Industrials,409.64,-0.0031250264453357435,14.03,24.89,43,"[39, 39, 40, 44, 43]",False,180,9,up
ABBV,Health Care,221.23,-0.009104945258785913,8.16,0.53,42,"[40, 40, 41, 41, 42]",False,181,16,up
TROW,Financials,108.12,-0.00582518640819818,25.64,6.86,42,"[40, 40, 43, 45, 42]",False,182,2,up
SJM,Consumer Staples,112.96,-0.014288878023561269,13.75,15.7,42,"[46, 46, 48, 51, 42]",False,183,-19,down
NEE,Utilities,85.73,-0.008105160321189242,-6.55,6.92,42,"[34, 41, 42]",True,184,14,up
COP,Energy,111.21,-0.01573405861394006,-11.1,24.39,41,"[48, 48, 44, 38, 41]",False,185,22,up
CNP,Utilities,42.63,-0.01483409653413803,-0.89,13.27,41,"[37, 37, 38, 43, 41]",False,186,5,up
SYF,Financials,74.11,-0.014486272336970307,13.59,-10.4,41,"[38, 38, 44, 45, 41]",False,187,-2,down
L,Financials,107.68,-0.018651326828389214,1.98,3.7,40,"[41, 41, 40, 41, 40]",False,188,11,up
NI,Utilities,46.77,-0.018145550626216034,0.8,14.38,40,"[38, 38, 40, 44, 40]",False,189,-1,down
KIM,Real Estate,24.49,-0.01968355462272986,7.22,24.68,40,"[52, 52, 54, 47, 40]",False,190,-11,down
AMGN,Health Care,341.66,-0.02553832703535086,-1.62,6.09,39,"[43, 43, 42, 42, 39]",False,191,5,up
MAS,Industrials,72.62,-0.02588638540602739,22.18,13.14,39,"[35, 35, 39, 43, 39]",False,192,0,stable
DOC,Real Estate,19.4,-0.02177456375897613,11.2,23.47,39,"[47, 47, 48, 47, 39]",False,193,-15,down
NSC,Industrials,300.53,-0.030391019468641867,8.5,3.12,38,"[47, 47, 51, 47, 38]",False,194,-17,down
TXT,Industrials,92.69,-0.029648596154760343,4.53,7.41,38,"[40, 40, 37, 40, 38]",False,195,6,up
FE,Utilities,46.14,-0.032424416078410845,-6.19,6.89,38,"[37, 37, 39, 44, 38]",False,196,-9,down
PNW,Utilities,102.38,-0.03809836364591779,3.22,18.77,37,"[34, 34, 36, 40, 37]",False,197,5,up
XEL,Utilities,77.46,-0.03592588022422327,-1.87,7.46,37,"[33, 33, 36, 42, 37]",False,198,-4,down
CINF,Financials,171.47,-0.036762737467620266,9.26,4.81,37,"[32, 32, 33, 40, 37]",False,199,1,up
DOW,Materials,32.5,-0.040638501342874056,-12.43,45.44,36,"[34, 34, 35, 36, 36]",False,200,14,up
UNP,Industrials,258.05,-0.051911125900032884,10.77,10.54,36,"[41, 41, 45, 42, 36]",False,201,-6,down
OXY,Energy,53.04,-0.04688216297686698,-10.57,37.56,36,"[49, 49, 43, 37, 36]",False,202,8,up
AEE,Utilities,108.92,-0.05420140392024697,0.12,12.7,35,"[29, 29, 31, 38, 35]",False,203,6,up
KMI,Energy,31.33,-0.05714241016454347,-5.44,21.26,35,"[35, 35, 37, 37, 35]",False,204,7,up
KO,Consumer Staples,79.93,-0.053040579443976554,6.48,15.1,35,"[34, 34, 34, 36, 35]",False,205,10,up
GRMN,Consumer Discretionary,231.89,-0.052076594435025436,-0.93,12.93,35,"[32, 32, 37, 39, 35]",False,206,-1,down
PCG,Utilities,16.44,-0.06112610856117273,-9.36,8.31,34,"[36, 36, 46, 43, 34]",False,207,-14,down
