symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
INDIGO,Services,5270.5,-0.05557276099280617,22.7,12.03,11,"[12, 6, 6, 10, 11]",False,237,9,up
SUMICHEM,Chemicals,528.4,-0.05905959274782824,26.37,30.91,11,"[16, 12, 10, 13, 11]",False,238,-2,down
OLECTRA,Automobile and Auto Components,1312.7,-0.05924145824669891,5.39,32.92,10,"[41, 38, 8, 12, 10]",False,239,1,up
BHARTIHEXA,Telecommunication,1604.6,-0.05928416205322484,5.75,1.42,10,"[11, 10]",False,240,2,up
KPRMILL,Textiles,1043.3,-0.08264590307232111,11.64,16.45,9,"[17, 11, 7, 9, 9]",False,241,6,up
CONCOR,Services,522.4,-0.07465952147933863,2.66,8.36,9,"[7, 9]",True,242,11,up
CDSL,Financial Services,1345.1,-0.07318624384019823,6.71,2.67,9,[9],False,243,-999,new
PAGEIND,Textiles,40370.0,-0.09147156094729225,10.18,23.71,8,"[9, 8, 8, 6, 8]",False,244,13,up
NAUKRI,Consumer Services,1236.15,-0.08861229862699493,27.46,-2.84,8,"[8, 4, 2, 4, 8]",False,245,15,up
AFFLE,Information Technology,1631.8,-0.08487402135885114,14.78,6.09,8,[8],False,246,-999,new
MAXHEALTH,Healthcare,1104.8,-0.09161832643962742,11.45,13.46,7,"[12, 11, 6, 8, 7]",False,247,2,up
SHREECEM,Construction Materials,26875.0,-0.091505029698286,11.37,-1.01,7,"[8, 4, 5, 7, 7]",False,248,6,up
ABBOTINDIA,Healthcare,27905.0,-0.10366255115112033,12.28,3.15,6,"[6, 6, 5, 6, 6]",False,249,7,up
GLAXO,Healthcare,2632.6,-0.09631497901927444,15.55,15.33,6,"[5, 5, 3, 3, 6]",False,250,14,up
JKCEMENT,Construction Materials,5642.5,-0.09225601695816943,7.12,3.38,6,"[9, 11, 6, 9, 6]",False,251,-3,down
KFINTECH,Financial Services,973.75,-0.10711633231039241,10.19,-2.86,5,"[3, 5]",True,252,11,up
HOMEFIRST,Financial Services,1181.0,-0.10681915508330575,2.14,6.62,5,"[17, 9, 4, 6, 5]",False,253,2,up
ONESOURCE,Healthcare,1731.3,-0.10439001570728601,-0.39,50.38,5,"[3, 5]",True,254,11,up
NUVOCO,Construction Materials,350.45,-0.11434333269165142,18.12,1.61,4,"[12, 10, 7, 5, 4]",False,255,3,up
DLF,Realty,663.05,-0.11895429582041694,14.37,10.14,4,"[2, 4]",True,256,11,up
PCBL,Chemicals,318.4,-0.130102644853209,9.57,22.67,3,"[3, 2, 3, 5, 3]",False,257,2,up
APTUS,Financial Services,281.3,-0.129413608575629,9.15,6.14,3,"[8, 7, 2, 2, 3]",False,258,8,up
CRISIL,Financial Services,4489.9,-0.12270224971572852,4.93,2.09,3,"[4, 3]",False,259,2,up
POLYMED,Healthcare,1647.7,-0.13361320170330238,8.97,8.75,2,"[4, 3, 2, 4, 2]",False,260,2,up
FIVESTAR,Financial Services,561.3,-0.13134170029389292,17.05,9.48,2,"[2, 1, 1, 1, 2]",False,261,7,up
DIXON,Consumer Durables,13903.0,-0.14112150519644606,24.51,36.52,2,"[7, 6, 4, 1, 2]",False,262,7,up
PGEL,Consumer Durables,585.45,-0.22980509924434345,9.63,12.9,1,"[1, 1, 1, 1, 1]",False,263,7,up
HEXT,Information Technology,593.15,-0.14713616986657307,35.01,-13.15,1,[1],False,264,-999,new
BLUEJET,Healthcare,571.95,-0.25139041496324965,28.66,36.23,0,"[0, 0, 0, 0, 0]",False,265,6,up
